Ano,Links (ESQUIZOFRENIA),Ano,Links (ESQUIZOFRÊNICO),Ano,Links (ESQUIZOFRÊNICA),Ano,Links (ESQUIZOFRÊNICOS),Ano,Links (ESQUIZOFRÊNICAS),, 
2013,https://www.correiodopovo.com.br/blogs/juremirmachado/dois-relatos-sobre-edna-e-belchior-1.297872,,,,, ,,,,,
2014,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/filho-mata-pai-a-facadas-em-vacaria-1.151247,,,,, ,,,,,
2014,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/assaltante-que-mantinha-ref%C3%A9m-em-igreja-no-rio-se-entrega-%C3%A0-pol%C3%ADcia-1.150709,,,,, ,,,,,
2014,https://www.correiodopovo.com.br/not%C3%ADcias/geral/anvisa-adia-decis%C3%A3o-sobre-subst%C3%A2ncia-derivada-da-maconha-1.144474,,,,, ,,,,,
2014,https://www.correiodopovo.com.br/blogs/juremirmachado/dissid%C3%AAncias-ga%C3%BAchas-em-tempos-canarinhos-1.305372,,,,, ,,,,,
2014,https://www.correiodopovo.com.br/not%C3%ADcias/geral/anvisa-suspende-com%C3%A9rcio-de-lotes-de-rem%C3%A9dio-para-esquizofrenia-1.140120,,,,, ,,,,,
2014,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/papa-diz-que-c%C3%BAria-sofre-de-alzheimer-espiritual-1.161455,,,,, ,,,,,
2014,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/juiz-do-texas-aprova-execu%C3%A7%C3%A3o-de-preso-com-problemas-mentais-1.158749,,,,,,,,,,
2014,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/assassino-de-cartunista-glauco-responder%C3%A1-por-mais-um-latroc%C3%ADnio-1.156781,,,,,,,,,,
2014,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/adolescente-que-teria-matado-pai-a-facadas-%C3%A9-internado-em-caxias-do-sul-1.152890,,,,,,,,,,
2014,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADcia/adolescente-%C3%A9-suspeito-de-matar-pai-em-vacaria-1.152805,,,,,,,,,,
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/indon%C3%A9sia-determinada-a-executar-brasileiro-e-outros-sete-estrangeiros-1.171314,,,,,,,,,,
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/itamaraty-tenta-reverter-pena-de-brasileiro-condenado-%C3%A0-morte-na-indon%C3%A9sia-1.171272,,,,,,,,,,
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/indon%C3%A9sia-notifica-brasileiro-e-outros-oito-condenados-sobre-execu%C3%A7%C3%A3o-1.171253,,,,,,,,,,
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/idoso-que-perdeu-parte-do-c%C3%A9rebro-%C3%A9-executado-por-matar-policial-1.168167,,,,,,,,,,
2015,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADtica/fortunati-comenta-licenciamento-do-pdt-em-blog-1.168088,,,,,,,,,,
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/presidente-da-indon%C3%A9sia-defende-pena-de-morte-para-condenados-por-tr%C3%A1fico-1.167297,,,,,,,,,,
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/indon%C3%A9sia-rejeita-troca-de-presos-com-austr%C3%A1lia-1.167120,,,,,,,,,,
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/australianos-condenados-%C3%A0-morte-na-indon%C3%A9sia-s%C3%A3o-levados-para-local-da-execu%C3%A7%C3%A3o-1.167016,,,,,,,,,,
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/indon%C3%A9sia-amea%C3%A7a-reconsiderar-compra-de-material-militar-do-brasil-1.166315,,,,,,,,,,
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/indon%C3%A9sia-critica-brasil-e-agrava-crise-diplom%C3%A1tica-1.166084,,,,,,,,,,
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/itamaraty-pede-que-brasileiro-condenado-%C3%A0-morte-seja-hospitalizado-na-indon%C3%A9sia-1.165955,,,,,,,,,,
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/m%C3%A9dico-do-governo-indon%C3%A9sio-pede-interna%C3%A7%C3%A3o-de-brasileiro-condenado-%C3%A0-morte-1.165501,,,,,,,,,,
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/brasil-pede-hospitaliza%C3%A7%C3%A3o-de-brasileiro-condenado-%C3%A0-morte-na-indon%C3%A9sia-1.164680,,,,,,,,,,
2015,https://www.correiodopovo.com.br/blogs/cinecp/intenso-e-sequencial-1.300448,,,,,,,,,,
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/vida-de-brasileiro-na-indon%C3%A9sia-est%C3%A1-nas-m%C3%A3os-dos-m%C3%A9dicos-1.163833,,,,,,,,,,
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/indon%C3%A9sia-nega-pedido-de-clem%C3%AAncia-para-rodrigo-gularte-1.163615,,,,,,,,,,
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/m%C3%A3e-pedir%C3%A1-ao-papa-francisco-para-que-filho-n%C3%A3o-seja-executado-1.163610,,,,,,,,,,
2015,https://www.correiodopovo.com.br/not%C3%ADcias/mundo/embaixador-do-brasil-na-indon%C3%A9sia-se-apresenta-segunda-feira-no-itamaraty-1.163415,,,,,,,,,,
2015,https://www.correiodopovo.com.br/not%C3%ADcias/geral/cientista-comemora-decis%C3%A3o-da-anvisa-e-espera-amplia%C3%A7%C3%A3o-de-pesquisas-com-maconha-1.163231,,,,,,,,,,
2015,https://www.correiodopovo.com.br/blogs/juremirmachado/sartori-sempre-teve-um-programa-privatizar-1.311470,,,,,,,,,,
